
HORA INICIO DE MEDICION:  Mon Oct 10 10:18:20 2022

HORA FIN DE MEDICION: Mon Oct 10 10:20:20 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 120 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.124854;61596.296875;61702.113281
0;1;0.004070;62855.277344;62959.191406
0;2;0.425541;63010.058594;63070.761719
0;3;2.830004;63514.757813;63671.058594
0;4;1.079058;66533.171875;66691.609375
0;5;4.015841;67807.578125;67934.289063
0;6;0.139319;71968.226563;72109.507813
0;7;3.404890;72276.578125;72421.960938
0;8;0.999709;75828.585938;75937.953125
0;9;1.996646;76942.898438;77074.531250
0;10;0.343973;79084.750000;79239.609375
0;11;0.068348;79595.601563;79745.804688
0;12;0.397240;79844.632813;79917.640625
0;13;0.991906;80344.742188;80448.304688
0;14;0.858117;81454.210938;81566.789063
0;15;0.115050;82485.046875;82606.937500
0;16;0.166125;82747.914063;82891.835938
0;17;1.100210;83085.523438;83189.703125
0;18;0.862446;84331.218750;84438.859375
0;19;0.667791;85317.023438;85521.148438
0;20;2.184368;86220.242188;86324.492188
0;21;0.711525;88533.054688;88659.218750
0;22;1.970566;89388.320313;89545.375000
0;23;0.870046;91544.093750;91643.164063
0;24;0.602496;92521.312500;92669.585938
0;25;0.176087;93287.648438;93439.867188
0;26;0.278020;93643.031250;93742.429688
0;27;1.815507;94050.890625;94189.914063
0;28;0.567697;96027.296875;96153.515625
0;29;1.419707;96733.109375;96888.945313
0;30;0.706281;98341.585938;98440.414063
0;31;0.714735;99198.218750;99321.523438
0;32;0.038465;100049.945313;100146.437500
0;33;0.240334;100222.125000;100314.562500
0;34;0.119906;100571.257813;100674.960938
0;35;0.047892;100834.507813;100929.343750
0;36;0.285001;101031.632813;101165.125000
0;37;0.253528;101487.570313;101610.906250
0;38;0.838301;101891.296875;102015.234375
0;39;1.249340;102909.578125;103028.820313
0;40;1.101580;104320.312500;104434.953125
0;41;1.656989;105563.679688;105713.335938
0;42;0.369556;107415.085938;107553.234375
0;43;0.845446;107925.898438;108075.929688
0;44;0.185066;108947.671875;109128.992188
0;45;1.067125;109331.250000;109430.750000
0;46;0.656635;110515.382813;110614.656250
0;47;0.255897;111296.507813;111394.898438
0;48;2.911693;111692.359375;111762.882813
0;49;0.111218;114721.148438;114868.656250
0;50;0.170271;115016.875000;115114.046875
0;51;0.281830;115314.804688;115385.007813
0;52;0.240626;115712.023438;115828.148438
0;53;0.671617;116114.132813;116207.914063
0;54;0.218253;116880.632813;116973.570313
0;55;3.049814;117223.609375;117422.117188
0;56;0.074366;120482.335938;120600.765625
0;57;0.637652;120701.539063;120801.570313
0;58;1.196687;121458.453125;121557.945313
0;59;0.976792;122761.390625;122902.875000
0;60;1.069785;123880.578125;123985.796875
