
HORA INICIO DE MEDICION:  Mon Oct  3 09:30:53 2022

HORA FIN DE MEDICION: Mon Oct  3 09:35:53 2022
 

Parametros del experimento: 
Nº Usuarios: 90; Tpo. Reflex (seg): 1.250000; IP servidor: 192.168.203.238; Transitorio (seg): 0; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;5.351606;15.529997;1215.989746
0;1;0.140689;6567.825195;6811.182617
0;2;0.152830;6951.995117;7219.352539
0;3;1.358400;7372.505859;7535.139160
0;4;1.749110;8893.942383;9170.984375
0;5;0.683072;10920.112305;11053.787109
0;6;1.430920;11737.045898;11897.855469
0;7;0.557971;13328.019531;13517.419922
0;8;1.450244;14074.750977;14144.016602
0;9;2.806224;15594.598633;15925.771484
0;10;0.627341;18732.351563;19459.076172
0;11;4.457879;20087.029297;20197.128906
0;12;0.219045;24654.785156;24824.236328
0;13;2.478352;25043.691406;25177.054688
0;14;0.562450;27656.250000;28049.626953
0;15;0.475340;28612.910156;29018.298828
0;16;1.936912;29494.431641;29602.748047
0;17;1.930819;31538.921875;31714.474609
0;18;2.096916;33645.191406;33895.664063
0;19;0.590828;35992.355469;36075.976563
0;20;0.154685;36666.964844;36771.847656
0;21;0.033912;36926.921875;37013.597656
0;22;0.196790;37047.144531;37092.476563
0;23;0.028670;37289.101563;37502.050781
0;24;2.286851;37530.960938;37958.062500
0;25;0.129934;40244.496094;40684.363281
0;26;0.950165;40813.902344;40974.890625
0;27;0.099164;41925.664063;42218.820313
0;28;4.522990;42318.316406;42363.523438
0;29;0.009881;46886.441406;47203.898438
0;30;0.436013;47214.074219;47486.878906
0;31;0.079496;47923.945313;48168.605469
0;32;4.979648;48248.699219;48586.546875
0;33;1.744943;53566.816406;53799.476563
0;34;1.820849;55544.257813;55860.250000
0;35;0.829412;57680.593750;57729.074219
0;36;0.467275;58558.875000;58623.261719
0;37;1.115193;59091.105469;59205.914063
0;38;2.577782;60321.335938;60473.246094
0;39;5.446153;63050.902344;63210.519531
0;40;0.469217;68657.664063;68928.273438
0;41;0.223143;69397.640625;69453.226563
0;42;0.166397;69676.953125;69978.257813
0;43;0.299924;70144.789063;70447.000000
0;44;0.096070;70746.703125;70831.132813
0;45;0.398883;70928.070313;70963.343750
0;46;1.697625;71361.843750;71488.578125
0;47;1.278243;73186.648438;73514.164063
0;48;0.004624;74792.960938;75192.304688
0;49;0.483569;75196.937500;75594.632813
0;50;3.215914;76078.382813;76352.195313
0;51;1.226202;79567.640625;79614.539063
0;52;4.563456;80841.132813;81082.351563
0;53;0.158317;85646.085938;85789.453125
0;54;3.869194;85948.078125;86067.546875
0;55;1.136033;89936.921875;90152.656250
0;56;2.268916;91289.656250;91345.398438
0;57;0.390878;93614.453125;93750.601563
0;58;0.077668;94140.835938;94606.320313
0;59;0.451409;94684.328125;95264.820313
0;60;1.127166;95716.570313;95808.687500
0;61;0.975132;96936.601563;97165.140625
0;62;0.130739;98141.164063;98231.195313
0;63;0.188778;98361.476563;98465.453125
0;64;1.250239;98653.843750;98810.578125
0;65;0.980052;100061.445313;100589.664063
0;66;0.758853;101570.773438;101697.421875
0;67;2.482236;102455.781250;102537.625000
0;68;0.808551;105019.851563;105670.539063
0;69;2.239280;106479.382813;106541.554688
0;70;0.988688;108780.835938;108983.070313
0;71;0.684654;109971.460938;110282.257813
0;72;0.200098;110966.812500;111298.960938
0;73;0.315932;111499.625000;111613.359375
0;74;2.063076;111929.250000;112082.343750
0;75;0.645111;114145.687500;114394.750000
0;76;1.613304;115040.070313;115101.492188
0;77;0.802592;116715.257813;117022.414063
0;78;0.812199;117825.289063;118209.804688
0;79;0.043710;119022.648438;119323.843750
0;80;0.273106;119367.585938;119425.093750
0;81;0.136257;119698.867188;119852.328125
0;82;0.054423;119989.515625;120061.140625
0;83;0.323865;120115.867188;120320.039063
0;84;0.288099;120643.859375;120856.203125
0;85;0.952615;121144.562500;121366.773438
0;86;1.419704;122319.390625;122619.250000
0;87;1.251796;124038.617188;124289.984375
0;88;1.882942;125541.664063;125979.140625
0;89;0.419950;127861.593750;128058.203125
0;90;0.960734;128477.750000;128546.390625
0;91;0.210303;129506.953125;129755.453125
0;92;1.212642;129965.843750;130070.351563
0;93;0.746177;131282.984375;131658.687500
0;94;0.290792;132404.984375;132561.406250
0;95;3.308742;132852.515625;133031.046875
0;96;0.126384;136339.656250;136583.750000
0;97;0.193490;136710.062500;137003.859375
0;98;0.320262;137197.250000;137743.875000
0;99;0.273439;138064.234375;138123.468750
0;100;0.763201;138396.968750;138688.031250
0;101;0.248014;139451.171875;139501.484375
0;102;3.465698;139750.015625;140152.437500
0;103;0.084507;143618.093750;144188.859375
0;104;0.724604;144274.109375;144480.359375
0;105;1.359871;145205.625000;145470.906250
0;106;1.109990;146830.953125;147115.093750
0;107;1.215665;148225.171875;148533.093750
0;108;2.075458;149748.859375;149980.796875
0;109;1.634421;152056.578125;152148.953125
0;110;4.620557;153783.984375;154055.296875
0;111;0.554459;158675.953125;159227.312500
0;112;3.720000;159782.031250;159952.078125
0;113;0.212652;163671.609375;163854.125000
0;114;0.856592;164066.671875;164442.562500
0;115;0.615176;165299.281250;165348.265625
0;116;0.110197;165964.281250;166158.765625
0;117;0.067440;166268.968750;166380.875000
0;118;3.835925;166448.312500;166492.875000
0;119;0.682677;170328.890625;170458.468750
0;120;0.357887;171141.640625;171190.046875
0;121;0.542449;171547.187500;171701.750000
0;122;3.663687;172244.140625;172345.750000
0;123;3.794752;176009.406250;176068.531250
0;124;1.047957;179862.984375;179955.515625
0;125;0.501274;181003.265625;181322.921875
0;126;0.278338;181824.312500;182006.250000
0;127;1.343002;182285.187500;182571.734375
0;128;4.138049;183915.265625;184401.421875
