
HORA INICIO DE MEDICION:  Mon Oct 17 11:11:21 2022

HORA FIN DE MEDICION: Mon Oct 17 11:16:21 2022
 

Parametros del experimento: 
Nº Usuarios: 5; Tpo. Reflex (seg): 1.100000; IP servidor: 192.168.203.238; Transitorio (seg): 60; Medicion (seg): 300 
N. usu.; N. pet.; Tpo Reflex(Seg); Tpo. Ini.(mseg); Tpo. Fin(mseg)
0;0;1.124854;61160.324219;61259.183594
0;1;0.004070;62412.355469;62534.976563
0;2;0.425541;62582.476563;62660.769531
0;3;2.830004;63145.132813;63234.992188
0;4;1.079058;66068.125000;66129.007813
0;5;4.015841;67270.078125;67426.335938
0;6;0.139319;71461.835938;71537.203125
0;7;3.404890;71716.179688;71855.539063
0;8;0.999709;75274.789063;75411.960938
0;9;1.996646;76424.117188;76514.250000
0;10;0.343973;78552.929688;78639.507813
0;11;0.068348;79038.710938;79092.632813
0;12;0.397240;79162.414063;79274.039063
0;13;0.991906;79709.109375;79811.968750
0;14;0.858117;80834.789063;80936.406250
0;15;0.115050;81834.531250;81942.070313
0;16;0.166125;82076.914063;82164.054688
0;17;1.100210;82368.468750;82448.375000
0;18;0.862446;83571.296875;83700.539063
0;19;0.667791;84611.250000;84763.812500
0;20;2.184368;85449.304688;85549.578125
0;21;0.711525;87779.703125;87851.953125
0;22;1.970566;88573.265625;88648.539063
0;23;0.870046;90632.398438;90697.570313
0;24;0.602496;91606.195313;91699.640625
0;25;0.176087;92350.406250;92445.023438
0;26;0.278020;92648.234375;92747.554688
0;27;1.815507;93051.890625;93105.195313
0;28;0.567697;94929.679688;95036.046875
0;29;1.419707;95623.546875;95725.187500
0;30;0.706281;97155.781250;97256.679688
0;31;0.714735;97979.062500;98053.601563
0;32;0.038465;98793.351563;98914.515625
0;33;0.240334;98965.320313;99115.843750
0;34;0.119906;99372.523438;99474.867188
0;35;0.047892;99609.859375;99727.054688
0;36;0.285001;99789.757813;99891.859375
0;37;0.253528;100216.945313;100336.484375
0;38;0.838301;100640.796875;100742.789063
0;39;1.249340;101613.312500;101758.554688
0;40;1.101580;103021.765625;103128.742188
0;41;1.656989;104270.609375;104362.359375
0;42;0.369556;106063.406250;106196.476563
0;43;0.845446;106597.929688;106673.562500
0;44;0.185066;107541.867188;107649.796875
0;45;1.067125;107860.765625;108017.125000
0;46;0.656635;109115.312500;109212.476563
0;47;0.255897;109868.812500;109973.398438
0;48;2.911693;110275.046875;110379.523438
0;49;0.111218;113292.070313;113412.359375
0;50;0.170271;113552.062500;113654.195313
0;51;0.281830;113854.578125;113929.867188
0;52;0.240626;114213.539063;114306.710938
0;53;0.671617;114564.851563;114712.164063
0;54;0.218253;115387.398438;115510.007813
0;55;3.049814;115761.023438;115885.046875
0;56;0.074366;118963.476563;119077.265625
0;57;0.637652;119181.593750;119337.804688
0;58;1.196687;119982.703125;120122.148438
0;59;0.976792;121328.781250;121461.093750
0;60;1.069785;122487.929688;122553.328125
0;61;1.826403;123656.179688;123780.867188
0;62;1.438290;125629.109375;125746.921875
0;63;4.066091;127212.421875;127278.718750
0;64;0.487924;131395.250000;131495.687500
0;65;3.273600;132001.703125;132122.437500
0;66;0.187134;135402.781250;135503.781250
0;67;0.753801;135699.671875;135798.796875
0;68;0.541355;136567.156250;136688.062500
0;69;0.096974;137262.421875;137331.359375
0;70;0.059347;137481.031250;137559.203125
0;71;3.375614;137621.703125;137683.593750
0;72;0.600756;141060.093750;141182.734375
0;73;0.314941;141828.750000;141954.046875
0;74;0.477355;142300.687500;142450.328125
0;75;3.224045;142979.656250;143078.484375
0;76;3.339382;146329.093750;146414.453125
0;77;0.922202;149776.250000;149878.843750
0;78;0.441121;150822.312500;150921.093750
0;79;0.244938;151392.500000;151494.078125
0;80;1.181841;151757.421875;151880.734375
0;81;3.641483;153097.093750;153202.046875
0;82;2.160181;156894.796875;157052.500000
0;83;1.218422;159233.421875;159389.312500
0;84;0.652983;160624.171875;160679.078125
0;85;2.319507;161373.000000;161478.000000
0;86;1.074947;163813.656250;163931.937500
0;87;1.654569;165053.484375;165179.906250
0;88;0.166047;166866.328125;167015.437500
0;89;0.116803;167219.531250;167280.421875
0;90;0.011067;167421.750000;167534.796875
0;91;1.025499;167579.125000;167726.421875
0;92;0.318881;168801.781250;168901.296875
0;93;0.380888;169247.765625;169371.875000
0;94;2.527719;169783.078125;169908.187500
0;95;0.575600;172470.625000;172542.656250
0;96;2.044691;173128.890625;173287.796875
0;97;0.416680;175356.265625;175494.984375
0;98;0.079695;175944.640625;176051.640625
0;99;0.338799;176179.796875;176234.531250
0;100;2.683230;176612.390625;176719.609375
0;101;3.102624;179450.234375;179538.781250
0;102;0.626500;182664.656250;182766.046875
0;103;0.325405;183398.281250;183519.843750
0;104;0.360760;183846.546875;183947.265625
0;105;0.050525;184345.406250;184440.531250
0;106;1.960544;184532.984375;184595.734375
0;107;3.341480;186570.843750;186672.078125
0;108;0.681240;190034.171875;190114.390625
0;109;2.350922;190832.546875;190937.234375
0;110;0.981370;193315.140625;193423.875000
0;111;1.028574;194421.218750;194573.312500
0;112;0.724291;195650.703125;195724.562500
0;113;0.811862;196472.609375;196590.296875
0;114;0.950671;197444.593750;197507.750000
0;115;2.301678;198496.890625;198568.890625
0;116;0.109325;200894.375000;201026.203125
0;117;0.063821;201186.187500;201289.812500
0;118;3.810130;201385.484375;201534.718750
0;119;0.569555;205381.390625;205483.921875
0;120;0.536369;206083.609375;206165.750000
0;121;1.188052;206720.937500;206875.265625
0;122;0.607033;208082.531250;208182.765625
0;123;0.155440;208847.468750;208930.656250
0;124;0.289884;209099.531250;209195.468750
0;125;0.122605;209489.734375;209617.437500
0;126;3.035407;209774.843750;209831.046875
0;127;1.206193;212883.625000;213020.375000
0;128;0.923056;214239.265625;214325.593750
0;129;1.871285;215293.796875;215442.453125
0;130;0.030049;217323.953125;217429.265625
0;131;0.877698;217473.921875;217545.765625
0;132;3.308375;218474.046875;218567.796875
0;133;0.083962;221896.296875;221970.593750
0;134;0.829774;222070.390625;222156.625000
0;135;1.678702;223028.515625;223120.046875
0;136;0.509797;224842.328125;224978.562500
0;137;0.619285;225495.843750;225604.328125
0;138;1.257313;226244.750000;226359.406250
0;139;0.622650;227631.421875;227732.796875
0;140;1.744569;228381.390625;228483.218750
0;141;4.360661;230279.187500;230385.453125
0;142;1.435563;234757.031250;234899.890625
0;143;1.259420;236361.750000;236480.875000
0;144;0.559125;237762.859375;237863.421875
0;145;0.826140;238474.343750;238602.140625
0;146;1.668557;239438.390625;239505.718750
0;147;0.186736;241193.890625;241257.687500
0;148;3.523015;241445.843750;241552.171875
0;149;0.352681;245086.250000;245242.500000
0;150;0.132254;245604.296875;245695.828125
0;151;2.261606;245856.296875;245992.640625
0;152;0.537518;248268.890625;248422.203125
0;153;0.137720;248984.921875;249037.406250
0;154;1.183416;249192.765625;249274.203125
0;155;1.166903;250462.500000;250529.000000
0;156;2.050305;251717.765625;251842.718750
0;157;0.178177;253942.921875;254068.328125
0;158;2.404264;254297.828125;254385.640625
0;159;0.492484;256791.562500;256877.546875
0;160;0.656270;257395.906250;257540.718750
0;161;0.650736;258228.265625;258332.140625
0;162;1.796952;258995.843750;259087.281250
0;163;1.610445;260923.656250;261025.468750
0;164;6.099662;262670.437500;262795.468750
0;165;1.533518;268919.687500;269008.031250
0;166;0.367397;270587.468750;270714.125000
0;167;0.653347;271119.687500;271322.218750
0;168;1.325389;271984.000000;272054.000000
0;169;0.164447;273417.375000;273518.593750
0;170;0.659322;273719.093750;273804.812500
0;171;0.731187;274480.031250;274573.750000
0;172;0.575487;275335.031250;275462.718750
0;173;0.316551;276053.187500;276153.937500
0;174;0.456519;276507.500000;276628.812500
0;175;0.547412;277113.718750;277215.718750
0;176;0.314181;277816.406250;277966.468750
0;177;0.255643;278323.343750;278465.906250
0;178;0.852856;278749.031250;278852.156250
0;179;0.040727;279714.937500;279829.437500
0;180;0.255855;279879.437500;279977.781250
0;181;1.690970;280262.750000;280365.312500
0;182;0.055739;282090.187500;282195.812500
0;183;3.424347;282300.968750;282439.000000
0;184;0.927182;285891.031250;285976.718750
0;185;3.097564;286950.093750;287061.781250
0;186;0.070458;290206.625000;290329.156250
0;187;2.334542;290410.812500;290517.437500
0;188;1.392825;292863.718750;292995.812500
0;189;0.383977;294419.656250;294521.625000
0;190;2.454995;294943.000000;295050.093750
0;191;1.893212;297533.062500;297670.156250
0;192;0.318971;299576.468750;299733.625000
0;193;1.193503;300068.656250;300226.343750
0;194;1.636736;301469.718750;301595.531250
0;195;0.901514;303235.375000;303309.781250
0;196;2.397416;304232.843750;304388.906250
0;197;0.263165;306795.937500;306901.500000
0;198;1.464540;307209.468750;307263.562500
0;199;2.382674;308739.625000;308793.812500
0;200;0.136997;311202.625000;311258.718750
0;201;0.511612;311405.843750;311499.656250
0;202;0.369180;312025.468750;312178.593750
0;203;0.616812;312608.250000;312714.000000
0;204;0.111850;313386.281250;313468.500000
0;205;0.048839;313594.156250;313683.593750
0;206;0.128211;313750.812500;313874.781250
0;207;0.611707;314016.781250;314167.406250
0;208;1.390922;314815.375000;314921.968750
0;209;0.322071;316317.781250;316453.187500
0;210;0.814253;316781.437500;316863.937500
0;211;0.337247;317688.656250;317792.812500
0;212;0.471826;318149.000000;318254.750000
0;213;1.826757;318737.437500;318841.656250
0;214;2.185102;320688.062500;320789.406250
0;215;0.175693;323030.125000;323106.218750
0;216;0.253781;323284.843750;323388.250000
0;217;0.072751;323657.093750;323744.968750
0;218;0.939968;323829.187500;323936.343750
