Algorithm: MVA
Ni for Peticion 	Class 	Throughput (Inyector) 	Residence time (Inyector) 	Utilization (Inyector)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticion	 4.719792834510774	 1.0	 4.719792834510774	 9.439585669021548	 2.4943149370530547E-5	 1.1771540912696631E-4	 103.83544339759146	 0.05278671858763637	 0.24600142921907361	 99.11565056308069	 0.006556868898569015	 0.030203710427388702
28.0	 Peticion	 26.265622559529238	 1.0	 26.265622559529238	 52.531245119058475	 2.4956570139928154E-5	 6.550856391327067E-4	 577.8437020880802	 0.058379827810871386	 1.368996673270869	 551.5780795285509	 0.007627438405252564	 0.1680834913308944
52.0	 Peticion	 48.11441256651674	 1.0	 48.11441256651674	 96.22882513303348	 2.497021312167554E-5	 0.0012000119409389806	 1058.517087048539	 0.07159248639604175	 2.5077825812297854	 1010.4026744820223	 0.009139789010567558	 0.3079020278002556
75.0	 Peticion	 66.74323227059215	 1.0	 66.74323227059215	 133.4864645411843	 2.4981951767053903E-5	 0.0016646296074143844	 1468.3511246365383	 0.11266289875113703	 3.4787396618792807	 1401.607892365946	 0.011021556921169236	 0.4271147762564595
99.0	 Peticion	 76.2808886747963	 1.0	 76.2808886747963	 152.5617773495926	 2.4988273609077793E-5	 0.0019025063882603594	 1678.179567627314	 0.2853456319715822	 3.975854088105548	 1601.898678952518	 0.012464285979626292	 0.4881497882345586
122.0	 Peticion	 76.7437984297909	 1.0	 76.7437984297909	 153.4875968595818	 2.498862941907254E-5	 0.0019140517278777285	 1688.3635823390355	 0.577104894434238	 3.9999815160077787	 1611.6197839092447	 0.01257511585702765	 0.4911121199902319
146.0	 Peticion	 76.74415306179203	 1.0	 76.74415306179203	 153.48830612358407	 2.4988629750970483E-5	 0.0019140605726835425	 1688.3713842431384	 0.8898248051649172	 3.9999999998654787	 1611.6272311813464	 0.012575266293561345	 0.491114389412354
169.0	 Peticion	 76.74415306437295	 1.0	 76.74415306437295	 153.4883061287459	 2.498862975097333E-5	 0.0019140605727479127	 1688.3713842999186	 1.1895219035956541	 3.999999999999999	 1611.6272312355457	 0.012575266295816326	 0.4911143894288703
192.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 1.489219002092625	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
216.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 1.8019464092198991	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
239.0	 Peticion	 76.74415306437295	 1.0	 76.74415306437295	 153.4883061287459	 2.498862975097333E-5	 0.0019140605727479127	 1688.3713842999186	 2.10164350771687	 3.999999999999999	 1611.6272312355457	 0.012575266295816328	 0.4911143894288703
263.0	 Peticion	 76.74415306437298	 1.0	 76.74415306437298	 153.48830612874596	 2.498862975097333E-5	 0.0019140605727479133	 1688.3713842999193	 2.4143709148441435	 4.000000000000001	 1611.6272312355463	 0.012575266295816328	 0.4911143894288705
286.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 2.7140680133411146	 4.0	 1611.627231235546	 0.01257526629581633	 0.49111438942887037
309.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 3.0137651118380857	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
333.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 3.326492518965359	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
356.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 3.62618961746233	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
380.0	 Peticion	 76.74415306437295	 1.0	 76.74415306437295	 153.4883061287459	 2.498862975097333E-5	 0.0019140605727479127	 1688.3713842999186	 3.9389170245896046	 3.999999999999999	 1611.6272312355457	 0.012575266295816328	 0.4911143894288703
403.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 4.238614123086576	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
427.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 4.55134153021385	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
450.0	 Peticion	 76.74415306437297	 1.0	 76.74415306437297	 153.48830612874593	 2.498862975097333E-5	 0.001914060572747913	 1688.3713842999189	 4.85103862871082	 4.0	 1611.627231235546	 0.012575266295816328	 0.49111438942887037
