Algorithm: MVA
Ni for Peticion 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Servidor_CES) 	Residence time (Servidor_CES) 	Utilization (Servidor_CES)
5.0	 Peticion	 4.940511233254473	 1.0	 4.940511233254473	 4.940511233254473	 0.01204101436813033	 0.05681587918242644
14.0	 Peticion	 13.814058254181587	 1.0	 13.814058254181587	 13.814058254181587	 0.013460327327208647	 0.15886166992308826
23.0	 Peticion	 22.654632122832727	 1.0	 22.654632122832727	 22.654632122832727	 0.015244912179314968	 0.26052826941257634
32.0	 Peticion	 31.448115669095756	 1.0	 31.448115669095756	 31.448115669095756	 0.017549042896919435	 0.36165333019460116
41.0	 Peticion	 40.17158448814218	 1.0	 40.17158448814218	 40.17158448814218	 0.0206219277236215	 0.4619732216136351
50.0	 Peticion	 48.78587675188679	 1.0	 48.78587675188679	 48.78587675188679	 0.0248867772590814	 0.5610375826466981
59.0	 Peticion	 57.22027676703191	 1.0	 57.22027676703191	 57.22027676703191	 0.031103016859112723	 0.658033182820867
69.0	 Peticion	 66.21309046464111	 1.0	 66.21309046464111	 66.21309046464111	 0.04209000842283821	 0.7614505403433728
78.0	 Peticion	 73.66214586025173	 1.0	 73.66214586025173	 73.66214586025173	 0.05888851171913787	 0.8471146773928948
87.0	 Peticion	 79.95027145825286	 1.0	 79.95027145825286	 79.95027145825286	 0.08817641783027898	 0.9194281217699078
96.0	 Peticion	 84.30566989790456	 1.0	 84.30566989790456	 84.30566989790456	 0.13871344734295388	 0.9695152038259025
105.0	 Peticion	 86.355611460136	 1.0	 86.355611460136	 86.355611460136	 0.21590245526164478	 0.993089531791564
114.0	 Peticion	 86.8856336579411	 1.0	 86.8856336579411	 86.8856336579411	 0.3120696161209468	 0.9991847870663226
123.0	 Peticion	 86.95231124734495	 1.0	 86.95231124734495	 86.95231124734495	 0.4145684943337919	 0.9999515793444669
132.0	 Peticion	 86.95639174837282	 1.0	 86.95639174837282	 86.95639174837282	 0.518002269252048	 0.9999985051062874
141.0	 Peticion	 86.95651956222267	 1.0	 86.95651956222267	 86.95651956222267	 0.6215000405933443	 0.9999999749655607
150.0	 Peticion	 86.95652171857176	 1.0	 86.95652171857176	 86.95652171857176	 0.7250000004078326	 0.9999999997635752
159.0	 Peticion	 86.95652173901713	 1.0	 86.95652173901713	 86.95652173901713	 0.8285000000023827	 0.999999999998697
168.0	 Peticion	 86.95652173913005	 1.0	 86.95652173913005	 86.95652173913005	 0.9320000000000083	 0.9999999999999956
178.0	 Peticion	 86.95652173913045	 1.0	 86.95652173913045	 86.95652173913045	 1.047	 1.0000000000000002
187.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 1.1504999999999999	 1.0
196.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 1.254	 1.0
205.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 1.3575	 1.0
214.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 1.4609999999999999	 1.0
223.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 1.5645	 1.0
232.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 1.668	 0.9999999999999999
241.0	 Peticion	 86.95652173913045	 1.0	 86.95652173913045	 86.95652173913045	 1.7714999999999999	 1.0000000000000002
250.0	 Peticion	 86.95652173913045	 1.0	 86.95652173913045	 86.95652173913045	 1.8749999999999996	 1.0000000000000002
259.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 1.9785000000000004	 0.9999999999999999
268.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.082	 1.0
277.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.1854999999999998	 1.0
287.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 2.3005000000000004	 0.9999999999999999
296.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 2.4040000000000004	 0.9999999999999999
305.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.5075	 1.0
314.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.6109999999999998	 1.0
323.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.7145	 1.0
332.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 2.818	 1.0
341.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 2.9215000000000004	 0.9999999999999999
350.0	 Peticion	 86.95652173913042	 1.0	 86.95652173913042	 86.95652173913042	 3.025	 0.9999999999999999
359.0	 Peticion	 86.95652173913044	 1.0	 86.95652173913044	 86.95652173913044	 3.1285	 1.0
368.0	 Peticion	 86.95652173913041	 1.0	 86.95652173913041	 86.95652173913041	 3.2320000000000007	 0.9999999999999997
